carrierId	nuOfTours	tourDurations[s]	tourDurations[h]	travelDistances[m]	travelDistances[km]	travelTimes[s]	travelTimes[h]	fixedCosts[EUR]	varCostsTime[EUR]	varCostsDist[EUR]	totalCosts[EUR]
Carrier Haselhorst1	3	52850.0	14.680555555555555	138835.5693064044	138.83556930640438	22618.0	6.282777777777778	2525.67	0.0	212.72108257988666	2738.3910825798866
Carrier Wilhelmstadt1	5	116241.0	32.28916666666667	253393.82736256497	253.39382736256496	44828.0	12.452222222222222	4209.45	0.0	388.2449544083748	4597.6949544083745
Carrier Neukoelln1	25	495387.0	137.6075	1472011.3739169762	1472.0113739169763	220626.0	61.285	21047.249999999993	0.0	2255.3863868881126	23302.636386888105
Carrier Moabit1	9	211604.0	58.778888888888886	421704.78932511393	421.70478932511395	75622.0	21.00611111111111	7577.010000000001	0.0	646.127644108153	8223.137644108154
Carrier Schmargendorf1	3	68438.0	19.010555555555555	151245.18874576723	151.24518874576722	26748.0	7.43	2525.67	0.0	231.73485329248962	2757.40485329249
Carrier Neu-Hohenschoenhausen1	8	159428.0	44.285555555555554	421372.9640432639	421.37296404326395	69836.0	19.398888888888887	6735.120000000001	0.0	645.6192280478081	7380.739228047809
Carrier Hellersdorf1	15	293914.0	81.64277777777778	951723.551233453	951.723551233453	157541.0	43.76138888888889	12628.349999999999	0.0	1458.211790728872	14086.56179072887
Carrier Halensee1	2	38361.0	10.655833333333334	84509.26189884405	84.50926189884404	13583.0	3.7730555555555556	1683.78	0.0	129.48340089617088	1813.2634008961709
Carrier Maerkisches Viertel1	4	84014.0	23.337222222222223	199019.43006506085	199.01943006506085	35865.0	9.9625	3367.56	0.0	304.9335903570849	3672.493590357085
Carrier Staaken1	7	158651.0	44.069722222222225	407805.1947233823	407.80519472338233	75477.0	20.965833333333332	5893.2300000000005	0.0	624.8309632512719	6518.060963251272
Carrier Wilmersdorf1	14	271727.0	75.47972222222222	572429.3778225214	572.4293778225214	95595.0	26.554166666666667	11786.46	0.0	877.0648441121109	12663.52484411211
Carrier Steglitz1	11	203446.0	56.51277777777778	456836.51675779576	456.8365167577958	70730.0	19.647222222222222	9260.79	0.0	699.9557742459594	9960.745774245961
Carrier Karlshorst1	5	112927.0	31.36861111111111	327890.8468784106	327.8908468784106	61203.0	17.000833333333333	4209.45	0.0	502.3877977701631	4711.837797770163
Carrier Lichtenberg1	8	159833.0	44.39805555555556	556579.3288246953	556.5793288246953	90177.0	25.049166666666668	6735.120000000001	0.0	852.7797160386217	7587.8997160386225
Carrier Fennpfuhl1	5	99152.0	27.54222222222222	310012.20385471254	310.01220385471254	44679.0	12.410833333333333	4209.45	0.0	474.9944985021135	4684.444498502114
Carrier Wedding1	12	244678.0	67.9661111111111	608608.2387897273	608.6082387897274	96383.0	26.773055555555555	10102.68	0.0	932.4973713088445	11035.177371308844
Carrier Pankow1	9	176066.0	48.907222222222224	390633.3967460534	390.6333967460534	67167.0	18.6575	7577.010000000001	0.0	598.5206778263681	8175.530677826369
Carrier Schoeneberg1	17	354214.0	98.39277777777778	994881.37992815	994.88137992815	141568.0	39.324444444444445	14312.129999999997	0.0	1524.3373526983132	15836.46735269831
Carrier Friedrichshain1	21	474102.0	131.695	1519932.1316687916	1519.9321316687917	250631.0	69.61972222222222	17679.689999999995	0.0	2328.8096135002893	20008.499613500284
Carrier Gesundbrunnen1	8	169537.0	47.09361111111111	260166.1979177012	260.1661979177012	49062.0	13.628333333333334	6735.120000000001	0.0	398.6214451255434	7133.7414451255445
