carrierId	nuOfJspritIterations	fleetSize	nuOfPossibleVehicleTypes	nuOfPossibleVehicles	nuOfServiceLocations_planned	nuOfPickupLocations_planned	nuOfDeliveryLocations_planned	MATSimScoreSelectedPlan	jSpritScoreSelectedPlan	nuOfTours	jobType	nuOfJobs_planned	nuOfJobs_handled	noOfJobs_notHandled	demandSize_planned	demandSize_handled	jspritComputationTime
Carrier Fennpfuhl1	100	INFINITE	1	1	0	65	1	-Infinity	-1870.941378134853	2	shipments	65	65	0	28113	28113	00:00:07
Carrier Fennpfuhl2	100	INFINITE	1	1	0	60	1	-Infinity	-1870.1486588803693	2	shipments	60	60	0	24910	24910	00:00:06
Carrier Fennpfuhl3	100	INFINITE	1	1	0	55	1	-Infinity	-1867.6488495831752	2	shipments	55	55	0	27247	27247	00:00:04
Carrier Friedrichshain1	100	INFINITE	1	1	0	351	1	-Infinity	-8500.224584725946	9	shipments	351	351	0	112960	112960	00:04:05
Carrier Friedrichshain2	100	INFINITE	1	1	0	328	1	-Infinity	-7610.730890844738	8	shipments	328	328	0	102391	102391	00:03:22
Carrier Friedrichshain3	100	INFINITE	1	1	0	331	1	-Infinity	-7573.363692175433	8	shipments	331	331	0	102789	102789	00:03:30
Carrier Gesundbrunnen1	100	INFINITE	1	1	0	171	1	-Infinity	-2696.7334112392427	3	shipments	171	171	0	52252	52252	00:01:16
Carrier Gesundbrunnen2	100	INFINITE	1	1	0	205	1	-Infinity	-2688.5422983385597	3	shipments	205	205	0	59462	59462	00:01:43
Carrier Gesundbrunnen3	100	INFINITE	1	1	0	188	1	-Infinity	-2692.7540517284783	3	shipments	188	188	0	58186	58186	00:01:31
Carrier Halensee1	100	INFINITE	1	1	0	31	1	-Infinity	-898.4533667291424	1	shipments	31	31	0	16678	16678	00:00:01
Carrier Halensee2	100	INFINITE	1	1	0	25	1	-Infinity	-878.1573568071485	1	shipments	25	25	0	11281	11281	00:00:00
Carrier Halensee3	100	INFINITE	1	1	0	22	1	-Infinity	-878.073027508864	1	shipments	22	22	0	8961	8961	00:00:00
Carrier Haselhorst1	100	INFINITE	1	1	0	89	1	-Infinity	-918.9320681269966	1	shipments	89	89	0	11477	11477	00:00:26
Carrier Haselhorst2	100	INFINITE	1	1	0	99	1	-Infinity	-928.5934467831224	1	shipments	99	99	0	15051	15051	00:00:34
Carrier Haselhorst3	100	INFINITE	1	1	0	86	1	-Infinity	-915.2218161205662	1	shipments	86	86	0	10822	10822	00:00:23
Carrier Hellersdorf1	100	INFINITE	1	1	0	231	1	-Infinity	-5624.627384441479	6	shipments	231	231	0	74524	74524	00:01:23
Carrier Hellersdorf2	100	INFINITE	1	1	0	206	1	-Infinity	-4708.631030387472	5	shipments	206	206	0	60123	60123	00:01:14
Carrier Hellersdorf3	100	INFINITE	1	1	0	207	1	-Infinity	-4693.29919241218	5	shipments	207	207	0	59283	59283	00:01:04
Carrier Karlshorst1	100	INFINITE	1	1	0	165	1	-Infinity	-1873.8464797817533	2	shipments	165	165	0	21827	21827	00:01:36
Carrier Karlshorst2	100	INFINITE	1	1	0	164	1	-Infinity	-1869.482476271537	2	shipments	164	164	0	22598	22598	00:01:35
Carrier Karlshorst3	100	INFINITE	1	1	0	161	1	-Infinity	-1869.7689355149914	2	shipments	161	161	0	20615	20615	00:01:29
Carrier Lichtenberg1	100	INFINITE	1	1	0	133	1	-Infinity	-2823.120486354189	3	shipments	133	133	0	31365	31365	00:00:38
Carrier Lichtenberg2	100	INFINITE	1	1	0	120	1	-Infinity	-1962.0066872661193	2	shipments	120	120	0	27602	27602	00:00:26
Carrier Lichtenberg3	100	INFINITE	1	1	0	136	1	-Infinity	-3742.508385442938	4	shipments	136	136	0	38293	38293	00:00:37
Carrier Maerkisches Viertel1	100	INFINITE	1	1	0	47	1	-Infinity	-1818.6377939729189	2	shipments	47	47	0	20354	20354	00:00:02
Carrier Maerkisches Viertel2	100	INFINITE	1	1	0	44	1	-Infinity	-1824.3841219220772	2	shipments	44	44	0	26068	26068	00:00:02
Carrier Maerkisches Viertel3	100	INFINITE	1	1	0	43	1	-Infinity	-1821.6355523341415	2	shipments	43	43	0	24778	24778	00:00:02
Carrier Moabit1	100	INFINITE	1	1	0	257	1	-Infinity	-3635.6298818612645	4	shipments	257	257	0	66497	66497	00:02:42
Carrier Moabit2	100	INFINITE	1	1	0	246	1	-Infinity	-2764.1544446309777	3	shipments	246	246	0	60100	60100	00:03:43
Carrier Moabit3	100	INFINITE	1	1	0	247	1	-Infinity	-2768.6028642230726	3	shipments	247	247	0	62713	62713	00:03:14
Carrier Neu-Hohenschoenhausen1	100	INFINITE	1	1	0	94	1	-Infinity	-2752.2629264346665	3	shipments	94	94	0	39878	39878	00:00:11
Carrier Neu-Hohenschoenhausen2	100	INFINITE	1	1	0	98	1	-Infinity	-3608.9231870207987	4	shipments	98	98	0	44060	44060	00:00:11
Carrier Neu-Hohenschoenhausen3	100	INFINITE	1	1	0	98	1	-Infinity	-3649.5083937436984	4	shipments	98	98	0	50492	50492	00:00:11
Carrier Neukoelln1	100	INFINITE	1	1	0	416	1	-Infinity	-9276.96883423781	10	shipments	416	416	0	143267	143267	00:05:58
Carrier Neukoelln2	100	INFINITE	1	1	0	398	1	-Infinity	-8386.902968988892	9	shipments	398	398	0	133751	133751	00:04:38
Carrier Neukoelln3	100	INFINITE	1	1	0	388	1	-Infinity	-8324.71669538525	9	shipments	388	388	0	120312	120312	00:05:14
Carrier Pankow1	100	INFINITE	1	1	0	210	1	-Infinity	-3610.434512894073	4	shipments	210	210	0	52073	52073	00:01:36
Carrier Pankow2	100	INFINITE	1	1	0	201	1	-Infinity	-2752.2405880032197	3	shipments	201	201	0	50089	50089	00:01:54
Carrier Pankow3	100	INFINITE	1	1	0	215	1	-Infinity	-2750.028865092956	3	shipments	215	215	0	49818	49818	00:02:36
Carrier Schmargendorf1	100	INFINITE	1	1	0	116	1	-Infinity	-1784.5096093932882	2	shipments	116	116	0	17642	17642	00:00:39
Carrier Schmargendorf2	100	INFINITE	1	1	0	130	1	-Infinity	-1782.528052803444	2	shipments	130	130	0	18893	18893	00:00:55
Carrier Schmargendorf3	100	INFINITE	1	1	0	105	1	-Infinity	-931.9276515408368	1	shipments	105	105	0	16005	16005	00:00:45
Carrier Schoeneberg1	100	INFINITE	1	1	0	432	1	-Infinity	-5612.0300718721	6	shipments	432	432	0	96793	96793	00:09:50
Carrier Schoeneberg2	100	INFINITE	1	1	0	429	1	-Infinity	-6499.345041050771	7	shipments	429	429	0	104186	104186	00:08:25
Carrier Schoeneberg3	100	INFINITE	1	1	0	400	1	-Infinity	-6459.039127832686	7	shipments	400	400	0	92901	92901	00:07:39
Carrier Staaken1	100	INFINITE	1	1	0	202	1	-Infinity	-1907.81999737687	2	shipments	202	202	0	36219	36219	00:02:04
Carrier Staaken2	100	INFINITE	1	1	0	193	1	-Infinity	-1909.86371150141	2	shipments	193	193	0	35156	35156	00:01:59
Carrier Staaken3	100	INFINITE	1	1	0	205	1	-Infinity	-2806.539226306901	3	shipments	205	205	0	38085	38085	00:02:09
Carrier Steglitz1	100	INFINITE	1	1	0	290	1	-Infinity	-3607.9893435426575	4	shipments	290	290	0	56474	56474	00:04:43
Carrier Steglitz2	100	INFINITE	1	1	0	301	1	-Infinity	-3642.773157680875	4	shipments	301	301	0	61963	61963	00:06:32
Carrier Steglitz3	100	INFINITE	1	1	0	300	1	-Infinity	-3625.893606793207	4	shipments	300	300	0	60713	60713	00:05:16
Carrier Wedding1	100	INFINITE	1	1	0	279	1	-Infinity	-3712.2346208935614	4	shipments	279	279	0	68581	68581	00:04:24
Carrier Wedding2	100	INFINITE	1	1	0	270	1	-Infinity	-3721.456160100219	4	shipments	270	270	0	70858	70858	00:03:29
Carrier Wedding3	100	INFINITE	1	1	0	244	1	-Infinity	-3697.073993047533	4	shipments	244	244	0	67321	67321	00:02:36
Carrier Wilhelmstadt1	100	INFINITE	1	1	0	161	1	-Infinity	-1850.3255685920885	2	shipments	161	161	0	32808	32808	00:01:17
Carrier Wilhelmstadt2	100	INFINITE	1	1	0	162	1	-Infinity	-1859.170965721062	2	shipments	162	162	0	32751	32751	00:01:12
Carrier Wilhelmstadt3	100	INFINITE	1	1	0	158	1	-Infinity	-1848.5740334105117	2	shipments	158	158	0	31051	31051	00:01:12
Carrier Wilmersdorf1	100	INFINITE	1	1	0	351	1	-Infinity	-4520.501133449015	5	shipments	351	351	0	77164	77164	00:06:58
Carrier Wilmersdorf2	100	INFINITE	1	1	0	382	1	-Infinity	-4540.516647019451	5	shipments	382	382	0	77912	77912	00:10:31
Carrier Wilmersdorf3	100	INFINITE	1	1	0	372	1	-Infinity	-4551.279352652832	5	shipments	372	372	0	86964	86964	00:08:56
